p_val,avg_log2FC,pct.1,pct.2,p_val_adj,ratio,gene,,,,,,,,,,,
1.12233E-10,0.330635992,0.517,0.414,1.80516E-06,1.248792271,Txnl1,,,,,,,,,,,
1.57971E-18,0.329938747,0.325,0.137,2.5408E-14,2.372262774,Lmo7,,,,,,,,,,,
8.633E-22,0.329520299,0.353,0.144,1.38853E-17,2.451388889,Mrpl46,,,,,,,,,,,
1.57621E-17,0.329374849,0.367,0.178,2.53518E-13,2.061797753,Ppa2,,,,,,,,,,,
2.99922E-39,0.328708613,0.393,0.104,4.82394E-35,3.778846154,Timm44,,,,,,,,,,,
2.4942E-15,0.328490733,0.441,0.267,4.01166E-11,1.651685393,Capza2,,,,,,,,,,,
2.46338E-32,0.328417376,0.429,0.15,3.9621E-28,2.86,Arid1a,,,,,,,,,,,
4.83989E-23,0.327975018,0.398,0.171,7.78448E-19,2.32748538,Gsk3b,,,,,,,,,,,
2.78538E-10,0.327570757,0.565,0.464,4.48E-06,1.217672414,Carhsp1,,,,,,,,,,,
1.95743E-17,0.326210248,0.421,0.225,3.14833E-13,1.871111111,Ddx24,,,,,,,,,,,
3.10286E-25,0.326142595,0.381,0.149,4.99064E-21,2.55704698,Rsl1d1,,,,,,,,,,,
6.06675E-49,0.326096658,0.345,0.054,9.75776E-45,6.388888889,Efna4,,,,,,,,,,,
1.0793E-10,0.326001646,0.596,0.517,1.73595E-06,1.152804642,Syngr2,,,,,,,,,,,
4.83966E-17,0.325953864,0.41,0.223,7.78411E-13,1.838565022,Acbd6,,,,,,,,,,,
4.81606E-13,0.325889142,0.542,0.399,7.74615E-09,1.35839599,Ddb1,,,,,,,,,,,
7.12047E-17,0.325583293,0.458,0.267,1.14526E-12,1.715355805,Gtf3a,,,,,,,,,,,
2.71413E-44,0.325315113,0.345,0.064,4.36541E-40,5.390625,Myb,,,,,,,,,,,
1.29642E-09,0.325270346,0.404,0.271,2.08516E-05,1.490774908,Nfkbia,,,,,,,,,,,
7.87377E-12,0.32516545,0.621,0.533,1.26642E-07,1.165103189,Laptm4a,,,,,,,,,,,
3.08081E-12,0.325075526,0.737,0.719,4.95517E-08,1.025034771,Ost4,,,,,,,,,,,
1.02079E-26,0.325067006,0.412,0.167,1.64184E-22,2.467065868,Fcf1,,,,,,,,,,,
3.07103E-17,0.324896961,0.347,0.164,4.93945E-13,2.115853659,Cpsf6,,,,,,,,,,,
4.27591E-29,0.324339036,0.336,0.102,6.87737E-25,3.294117647,Rpa3,,,,,,,,,,,
1.0362E-19,0.324211253,0.376,0.172,1.66662E-15,2.186046512,Cops5,,,,,,,,,,,
3.21035E-15,0.32416052,0.463,0.287,5.16352E-11,1.613240418,Aamp,,,,,,,,,,,
5.27323E-07,0.324154904,0.647,0.625,0.008481463,1.0352,Eif5b,,,,,,,,,,,
7.21865E-19,0.323961976,0.379,0.18,1.16105E-14,2.105555556,Ppm1g,,,,,,,,,,,
9.99009E-32,0.323567626,0.39,0.128,1.60681E-27,3.046875,Ccni,,,,,,,,,,,
1.41148E-11,0.323557088,0.483,0.354,2.27022E-07,1.36440678,Pdcd4,,,,,,,,,,,
1.26124E-18,0.323492133,0.39,0.191,2.02858E-14,2.041884817,Zfp91,,,,,,,,,,,
3.93953E-20,0.323265308,0.429,0.223,6.33634E-16,1.923766816,Pcnp,,,,,,,,,,,
6.06301E-24,0.322897196,0.367,0.145,9.75175E-20,2.531034483,Khdrbs1,,,,,,,,,,,
2.03799E-27,0.322592055,0.35,0.116,3.2779E-23,3.017241379,Pkn2,,,,,,,,,,,
8.93542E-16,0.322518798,0.46,0.29,1.43717E-11,1.586206897,Ube2l3,,,,,,,,,,,
2.10739E-21,0.322444217,0.424,0.206,3.38952E-17,2.058252427,Eif2s1,,,,,,,,,,,
1.32364E-35,0.322408896,0.353,0.09,2.12895E-31,3.922222222,Mrpl19,,,,,,,,,,,
8.34735E-32,0.322359464,0.314,0.078,1.34259E-27,4.025641026,Tubb2b,,,,,,,,,,,
1.32776E-23,0.32210625,0.401,0.174,2.13556E-19,2.304597701,Dap3,,,,,,,,,,,
9.44038E-08,0.321928363,0.455,0.363,0.001518391,1.253443526,Tex261,,,,,,,,,,,
5.55491E-15,0.32172877,0.39,0.208,8.93452E-11,1.875,Klf3,,,,,,,,,,,
6.12094E-30,0.321709038,0.268,0.06,9.84492E-26,4.466666667,Tk1,,,,,,,,,,,
